Symbol,AAPL M5,AAPL M5,AAPL M5,AAPL M5,AAPL M5,AAPL,AAPL,AAPL,AAPL,AAPL,Indicators,Indicators,Indicators,Indicators
Value,Open,High,Low,Close,Volume,Spread,LB,SS,LS,SB,Env_L,Env_H,Wick,StDv*2
Datetime,,,,,,,,,,,,,,
2020-08-14 12:50:00-04:00,459.06,459.2,458.26,458.89,489759,0.0,,,,,455.1056248308568,458.72907017136185,0.9399999999999977,0.9927190317251758
2020-08-14 12:55:00-04:00,458.88,459.3,458.12,458.34,536233,0.0,458.89,,,458.89,455.28637484696566,458.8892158693274,1.1800000000000068,0.9722372737432462
2020-08-14 13:00:00-04:00,458.33,458.63,457.7,457.79,436411,0.0,,,,,455.3864200996356,458.99390959605813,0.9300000000000068,0.9687779069071485
2020-08-14 13:05:00-04:00,457.8,458.23,457.4,457.59,377174,0.0,,,,,455.43903247109876,459.05991820595733,0.8300000000000409,0.9707749742514549
2020-08-14 13:10:00-04:00,457.59,458.67,457.54,458.56,404386,0.0,,,,,455.5283293786132,459.13304028158046,1.1299999999999955,0.9646490474831401
2020-08-14 13:15:00-04:00,458.55,459.3,458.38,459.17,518791,0.0,,,,,455.6688218187453,459.2795983500014,0.9200000000000159,0.9602361260239692
2020-08-14 13:20:00-04:00,459.16,459.21,458.7,458.99,314412,0.0,,,,,455.78740545505525,459.44282707857263,0.5099999999999909,0.9558093859543758
2020-08-14 13:25:00-04:00,459.01,459.27,458.71,459.14,243485,0.0,,,,,455.9003811260023,459.59146735680383,0.5600000000000023,0.9668657440868446
2020-08-14 13:30:00-04:00,459.11,459.34,458.6,458.74,326253,0.0,,,,,456.00923054257356,459.71542284663207,0.7399999999999523,0.9725094448143764
2020-08-14 13:35:00-04:00,458.7,458.93,458.13,458.9,330259,0.0,,,,,456.0688609670904,459.782587337429,0.8000000000000114,0.9691900572584349
2020-08-14 13:40:00-04:00,458.92,459.1,458.24,458.35,304726,0.0,,,,,456.13892182736754,459.8538837814833,0.8600000000000136,0.9718101340842565
2020-08-14 13:45:00-04:00,458.36,458.73,458.26,458.36,222019,0.0,,,,,456.1672483199992,459.920304373723,0.4700000000000273,0.9770397035322966
2020-08-14 13:50:00-04:00,458.33,458.35,457.71,457.98,354794,0.0,,,,,456.1568675276184,459.92775633813034,0.6400000000000432,0.9836266851281523
2020-08-14 13:55:00-04:00,457.96,458.64,457.81,458.62,288203,0.0,,,,,456.1749563345119,459.9440700202132,0.8299999999999841,0.978239053386039
2020-08-14 14:00:00-04:00,458.58,458.71,457.87,458.0,247253,0.0,,,,,456.19795573122497,459.964572875431,0.839999999999975,0.9798010325015652
